#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
open_minded;Curious;Curieux;;;;;;;;;;;;x
open_minded_desc;This character is curious and inquisitive, willing to try anything once and always in search of new ideas.;Ce personnage est curieux et indiscret, prêt à tout essayer et toujours à la recherche de nouvelles idées.;;;;;;;;;;;;x
close_minded;Cautious;Prudent;;;;;;;;;;;;x
close_minded_desc;This character is cautious, reserved, and afraid of unfamiliar experiences.;Ce personnage est prudent, réservé, et s'effraie des expériences inhabituelles.;;;;;;;;;;;;x
disciplined;Disciplined;Discipliné;;;;;;;;;;;;x
disciplined_desc;This character is a methodical, rigorous, and dutiful in everything they do.;Ce personnage est méthodique, rigoureux et consciencieu dans tout ce qu'il entreprend.;;;;;;;;;;;;x
carefree;Carefree;Insouciant;;;;;;;;;;;;x
carefree_desc;This character always seems calm and relaxed - possibly to the point of neglect.;Ce personnage semble toujours calme et détendu - parfois jusqu'à la négligence.;;;;;;;;;;;;x
extraverted;Outgoing;Sociable;;;;;;;;;;;;x
extraverted_desc;This character is a social butterfly who loves to make friends and meet new people.;"Ce personnage est un ""papillon"" social qui aime se faire des amis et rencontrer de nouvelles personnes.";;;;;;;;;;;;x
introverted;Solitary;Solitaire;;;;;;;;;;;;x
introverted_desc;This character prefers privacy to social gatherings, and is always nervous in large crowds.;Ce personnage préfère l'intimité aux rassemblements, et est toujours nerveux au sein de la foule.This character prefers privacy to social gatherings, and is always nervous in large crowds.;;;;;;;;;;;;x
friendly;Friendly;Amical;;;;;;;;;;;;x
friendly_desc;This character is warm, compassionate, and agreeable, always happy to lend a helping hand.;Ce personnage est chaleureux, compatissant, et agréable, toujours heureux de tendre une main secourable.;;;;;;;;;;;;x
cold;Cold;Froid;;;;;;;;;;;;x
cold_desc;This character has little time for the petty concerns of others.;Ce personnage accorde peu de temps aux petits soucis des autres.;;;;;;;;;;;;x
neurotic;Neurotic;Névrosé;;;;;;;;;;;;x
neurotic_desc;This character is highly insecure and emotionally volatile, potentially willing to lash out at anybody close to hand.;Ce personnage est hautement autodestructeur et émotionellement instable, potentiellement prêt à s'en prendre à n'importe qui.;;;;;;;;;;;;x
confident;Confident;Confiant;;;;;;;;;;;;x
confident_desc;This character has great self-confidence that seems to manifest in everything they do.;Ce personnage possède une grande confiance en lui qui semble se manifester dans tout ce qu'il entreprend.;;;;;;;;;;;;x
spiritual;Spiritual;Mystique;;;;;;;;;;;;x
spiritual_desc;This character believes strongly that there is a power greater than that which can be perceived by mortal eyes.;Ce personnage est fortement persuadé qu'il existe une puissance supérieure à celles perceptibles par les yeux des mortels.;;;;;;;;;;;;x
skeptical;Skeptical;Sceptique;;;;;;;;;;;;x
skeptical_desc;This character is a realist who believes only in that which the evidence can justify.;Ce personnage est un réaliste qui ne crois que ce que des preuves peuvent étayer.;;;;;;;;;;;;x
radical;Radical;Radical;;;;;;;;;;;;x
radical_desc;This character is strongly committed to their ideological beliefs, and willing to go to great lengths for their cause.;Ce personnage est fortement engagé envers sa croyance idéologique, et prêt à aller très loin pour la cause.;;;;;;;;;;;;x
pragmatic;Pragmatic;Pragmatique;;;;;;;;;;;;x
pragmatic_desc;This character sees any ideological or moral concerns as irrelevant next to their own self-interest.;Ce personnage perçoit les préocupations idéologiques et morales comme des obstacles à son propre intérêt.;;;;;;;;;;;;x
clone;Clone;Clône;;;;;;;;;;;;x
clone_desc;This character is a clone, an artificially-created human based on someone else's genetic stock.;Ce personnage est un clône, un être humain créé artificiellement à partir du modèle génétique de quelqu'un d'autre.;;;;;;;;;;;;x
beautiful;Beautiful;Séduisant;;;;;;;;;;;;x
beautiful_desc;This character is considered to be stunningly beautiful by the standards of their culture.;Ce personnage est réputé posséder une beautée éblouissante selon les standards de sa culture.;;;;;;;;;;;;x
homely;Homely;Repoussant;;;;;;;;;;;;x
homely_desc;While not particularly ugly, this character is still considered relatively unattractive by the standards of their culture.;Bien que pas particulièrement laid, ce personange est néanmoins considéré comme relativement disgracieux selon les standards de sa culture.;;;;;;;;;;;;x
agile;Agile;Agile;;;;;;;;;;;;x
agile_desc;This character is unusually dexterous and light on their feet.;Ce personnage est exceptionnellement dextre et leste.;;;;;;;;;;;;x
clumsy;Clumsy;Maladroit;;;;;;;;;;;;x
clumsy_desc;This character always seems to manage to press exactly the wrong button or trip over their own feet.;Ce personnage semble toujours devoir presser le mauvais bouton au mauvais moment, ou se prendre les pieds dans le tapis.;;;;;;;;;;;;x
fighter_pilot;Fighter Pilot;Pilote de chasseur;;;;;;;;;;;;x
fighter_pilot_desc;This character's military training focused on small, single-pilot ships such as fighters and bombers.;Ce personnage a reçu une éducation militaire focalisée sur le pilote de petite unités comme les chasseurs ou les bombardiers légers.;;;;;;;;;;;;x
warship_captain;Warship Captain;Capitaine de vaisseau;;;;;;;;;;;;x
warship_captain_desc;This character's military training focused on mass fleet actions involving capital ships such as destroyers, battlecruisers, and dreadnoughts.;Ce personnage à reçu une éducation militaire focalisée sur les opération de flottes massives impliquant l'usage de navires capitaux comme les destroyers, croiseurs de bataille et cuirassés.;;;;;;;;;;;;x
marine_colonel;Marine Colonel;Colonel des marines;;;;;;;;;;;;x
marine_colonel_desc;This character's military training focused on infantry, armor, and artillery combat, including both planetary warfare and boarding actions.;Ce personnage à reçu une éducation militaire focalisée sur l'infanterie, le blindage et l'artillerie de combat, incluant des opérations au sol et d'abordage spatial.;;;;;;;;;;;;x
